Query_gene_ID	status_Dsim	method_Dsim	method_Dyak	method
G6093	confirmed	auto	confirmed	auto
G6162	confirmed	auto	not confirmed	auto
G620	confirmed	auto	confirmed	auto
G6312	confirmed	manual	confirmed	auto
G6352	confirmed	auto	confirmed	auto
G6356	confirmed	auto	confirmed	auto
G6374	confirmed	auto	confirmed	auto
G6423	confirmed	auto	confirmed	auto
G6424	confirmed	auto	confirmed	auto
G6430	confirmed	auto	confirmed	manual
G654	confirmed	auto	confirmed	auto
G658	confirmed	auto	confirmed	auto
G6590	confirmed	auto	confirmed	manual
G6591	confirmed	auto	confirmed	manual
G6706	confirmed	manual	confirmed	manual
G6722	confirmed	auto	confirmed	manual
G6726	confirmed	auto	confirmed	manual
G6729	confirmed	auto	confirmed	manual
G6733	confirmed	auto	confirmed	auto
G6963	not confirmed	manual	not confirmed	manual
G7056	confirmed	manual	confirmed	manual
G7057	confirmed	manual	confirmed	manual
G7190	confirmed	auto	confirmed	auto
G720	confirmed	auto	confirmed	auto
G7283	confirmed	auto	confirmed	manual
G7328	confirmed	auto	not confirmed	auto
G7357	confirmed	auto	confirmed	manual
G783	confirmed	auto	confirmed	auto
G808	confirmed	auto	confirmed	auto
G8095	confirmed	auto	confirmed	manual
G816	confirmed	auto	confirmed	auto
G8203	confirmed	manual	confirmed	auto
G8241	confirmed	auto	confirmed	auto
G8267	confirmed	auto	confirmed	auto
G8433	confirmed	auto	confirmed	auto
G8752	confirmed	auto	confirmed	auto
G8997	confirmed	auto	confirmed	auto
G9031	confirmed	manual	confirmed	auto
G9041	confirmed	manual	confirmed	auto
G9065	confirmed	auto	confirmed	auto
G9199	confirmed	auto	confirmed	auto
G9200	confirmed	auto	confirmed	auto
G9232	confirmed	auto	confirmed	auto
G9398	confirmed	auto	confirmed	auto
G9432	confirmed	auto	confirmed	auto
G9493	confirmed	auto	confirmed	auto
G9561	confirmed	auto	confirmed	auto
G9724	not confirmed	manual	not confirmed	manual
G9826	confirmed	auto	confirmed	auto
G9847	confirmed	auto	confirmed	auto
G998	confirmed	auto	confirmed	auto
