class	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
MSU	TU6703_ORF_1	1715	+	2	887	1252	366	0.7639	-0.020718531	0.064460799
MSU	TU6703_ORF_2	1715	+	3	1425	1664	240	0.5019	0.008566602	0.010689393
MSU	TU6703_ORF_3	1715	+	1	127	315	189	0.9525	-0.069248796	0.022400514
MSU	TU6703_ORF_4	1715	+	1	409	570	162	0.9346	-0.386174502	0.007918157
MSU	TU6703_ORF_5	1715	+	2	752	862	111	0.9638	-0.28967719	0.00696203
MSU	TU6699_ORF_1	1214	+	1	217	582	366	0.7639	-0.020718531	0.11933434
MSU	TU6699_ORF_2	1214	+	3	933	1163	231	0.4678	0.020328917	0.01784508
MSU	TU6699_ORF_3	1214	+	1	82	192	111	0.9638	-0.28967719	0.013600151
MSU	TU6701_ORF_1	1320	+	1	82	486	405	0.9176	-0.072211864	0.190575142
MSU	TU6701_ORF_2	1320	+	2	323	688	366	0.7639	-0.020718531	0.10509603
MSU	TU6701_ORF_3	1320	+	1	1039	1269	231	0.4678	0.020328917	0.015502742
MSU	TU6700_ORF_1	3259	+	1	82	552	471	0.8948	-0.090572565	0.026748056
MSU	TU6700_ORF_2	3259	+	2	389	754	366	0.7639	-0.020718531	0.008498223
MSU	TU6700_ORF_3	3259	+	2	2456	2785	330	0.6607	-0.470490839	0.001538357
MSU	TU6700_ORF_4	3259	+	3	1998	2255	258	0.7752	-0.010613329	0.003484657
MSU	TU6700_ORF_5	3259	+	1	2131	2364	234	0.5784	-0.236172178	0.00089616
MSU	TU6702_ORF_1	3082	+	2	212	577	366	0.7639	-0.020718531	0.010767198
MSU	TU6702_ORF_2	3082	+	2	2279	2608	330	0.6607	-0.470490839	0.001952749
MSU	TU6702_ORF_3	3082	+	1	82	375	294	0.9707	-0.177610681	0.007419556
MSU	TU6702_ORF_4	3082	+	3	1821	2078	258	0.7752	-0.010613329	0.004421008
MSU	TU6702_ORF_5	3082	+	1	1954	2187	234	0.5784	-0.236172178	0.001137759
MSU	TU6714_ORF_1	2964	+	3	1743	2171	429	0.7493	-0.029815335	0.020421385
MSU	TU6714_ORF_2	2964	+	2	2045	2344	300	0.9822	-0.04202141	0.013086919
MSU	TU6714_ORF_3	2964	+	2	1169	1453	285	0.492	-0.246298675	0.001565835
MSU	TU6714_ORF_4	2964	+	1	889	1068	180	0.7829	-0.173207598	0.001807021
MSU	TU6714_ORF_5	2964	+	1	2500	2658	159	1.2006	-0.961753767	0.000821087
MSU	TU6716_ORF_1	3060	+	2	1751	2179	429	0.7493	-0.029815335	0.017983852
MSU	TU6716_ORF_2	3060	+	1	2053	2367	315	1.0211	-0.034437581	0.015043349
MSU	TU6716_ORF_3	3060	+	3	777	1076	300	0.5754	-0.27824354	0.001880997
MSU	TU6716_ORF_4	3060	+	1	1177	1461	285	0.492	-0.246298675	0.001375773
MSU	TU6716_ORF_5	3060	+	1	2596	2754	159	1.2006	-0.961753767	0.000721358
MSU	TU6717_ORF_1	3126	+	2	1817	2245	429	0.7493	-0.029815335	0.016476132
MSU	TU6717_ORF_2	3126	+	1	2119	2433	315	1.0211	-0.034437581	0.013778694
MSU	TU6717_ORF_3	3126	+	1	1243	1527	285	0.492	-0.246298675	0.001258647
MSU	TU6717_ORF_4	3126	+	3	963	1142	180	0.7829	-0.173207598	0.001452586
MSU	TU6717_ORF_5	3126	+	1	2662	2820	159	1.2006	-0.961753767	0.000659909
MSU	TU6721_ORF_1	2841	+	2	1922	2221	300	0.9822	-0.04202141	0.015414275
MSU	TU6721_ORF_2	2841	+	1	1243	1527	285	0.492	-0.246298675	0.001848138
MSU	TU6721_ORF_3	2841	+	3	963	1142	180	0.7829	-0.173207598	0.002132714
MSU	TU6721_ORF_4	2841	+	1	2377	2535	159	1.2006	-0.961753767	0.00096925
MSU	TU6721_ORF_5	2841	+	2	1589	1744	156	1.1057	0.172554591	0.010609984
MSU	TU6722_ORF_1	2978	+	1	1669	2097	429	0.7493	-0.029815335	0.020046729
MSU	TU6722_ORF_2	2978	+	3	1971	2285	315	1.0211	-0.034437581	0.016774691
MSU	TU6722_ORF_3	2978	+	3	1095	1379	285	0.492	-0.246298675	0.001536565
MSU	TU6722_ORF_4	2978	+	2	815	994	180	0.7829	-0.173207598	0.001773251
MSU	TU6722_ORF_5	2978	+	3	2514	2672	159	1.2006	-0.961753767	0.000805728
MSU	TU6784_ORF_1	381	+	2	113	229	117	0.9433	-0.199822406	0.049547798
MSU	TU6796_ORF_1	317	+	2	65	295	231	0.5226	-0.376473863	0.027111533
MSU	TU6796_ORF_2	317	+	3	195	299	105	0.8093	-0.397141553	0.020621807
MSU	TU6868_ORF_1	233	+	3	9	185	177	0.685	-0.40586715	0.028905517
MSU	TU6921_ORF_1	702	+	3	210	455	246	0.6945	-0.18391283	0.048565773
