target_id	length	eff_length	est_counts	tpm
CG14770-PA	456	276.097	7	0.218438
ssx-PB	1332	1150.76	37.799	0.283001
ssx-PC	504	323.515	34.5845	0.921042
ssx-PD	1458	1276.76	660.818	4.45928
ssx-PE	1332	1150.76	37.799	0.283001
AMPKalpha-PA	1749	1567.76	335.333	1.84285
AMPKalpha-PB	1749	1567.76	335.333	1.84285
AMPKalpha-PC	1749	1567.76	335.333	1.84285
CG32813-PD	1719	1537.76	0	0
CG32813-PB	1719	1537.76	0	0
CG32813-PL	1719	1537.76	0	0
CG32813-PM	1719	1537.76	0	0
CG32813-PN	1719	1537.76	0	0
CG32813-PH	1746	1564.76	8.4209	0.0463664
CG32813-PI	1719	1537.76	0	0
CG32813-PJ	1719	1537.76	0	0
CG32813-PK	1719	1537.76	0	0
CG32813-PO	2100	1918.76	560.579	2.51715
Rilpl-PA	1332	1150.76	123.01	0.920976
Rilpl-PB	1347	1165.76	0	0
Rilpl-PC	1461	1279.76	390.99	2.63227
Lrpprc2-PA	3219	3037.76	699	1.98251
CG14785-PA	1413	1231.76	51	0.356728
CG3719-PA	483	302.609	306	8.71227
png-PA	876	694.76	4	0.0496041
CG12773-PA	2139	1957.76	554.5	2.44025
CG12773-PC	2139	1957.76	554.5	2.44025
CG12773-PB	2136	1954.76	0	0
MTPAP-PA	1839	1657.76	77.6009	0.403309
MTPAP-PB	867	685.76	10.7982	0.135667
MTPAP-PC	1839	1657.76	77.6009	0.403309
CG11409-PB	3840	3658.76	10	0.0235482
CG11409-PC	3840	3658.76	10	0.0235482
DAAM-PB	3462	3280.76	0	0
DAAM-PA	3345	3163.76	10.9783	0.0298967
DAAM-PG	3462	3280.76	0	0
DAAM-PE	3462	3280.76	0	0
DAAM-PF	3462	3280.76	0	0
DAAM-PD	4392	4210.76	4.02174	0.00822898
CG32811-PB	234	80.968	0	0
Atf3-PA	1842	1660.76	0	0
Atf3-PB	2067	1885.76	172	0.785841
Atf3-PC	1842	1660.76	0	0
CG11403-PA	2586	2404.76	69	0.247212
CG11398-PA	990	808.76	8	0.0852242
CG11398-PD	990	808.76	8	0.0852242
CG11384-PA	1767	1585.76	1	0.00543319
eIF4E7-PA	1290	1108.76	0	0
CG14777-PB	591	410.088	31.4	0.659697
CG14777-PD	591	410.088	31.4	0.659697
CG14777-PE	591	410.088	31.4	0.659697
CG14777-PC	591	410.088	31.4	0.659697
CG14777-PF	591	410.088	31.4	0.659697
CG14778-PA	561	380.244	19	0.430511
CG14780-PA	909	727.76	0	0
rush-PA	951	769.76	233.5	2.61351
rush-PB	951	769.76	233.5	2.61351
inc-PB	636	454.911	92.6667	1.75505
inc-PD	636	454.911	92.6667	1.75505
inc-PC	636	454.911	92.6667	1.75505
dor-PA	3009	2827.76	830	2.52888
hfw-PA	1836	1654.76	494.5	2.57468
hfw-PB	1836	1654.76	494.5	2.57468
CG14797-PB	591	410.088	0	0
CG14797-PC	666	484.865	0	0
b6-PA	1677	1495.76	1	0.00576011
Scgdelta-PA	1215	1033.76	6	0.0500062
Scgdelta-PC	1215	1033.76	6	0.0500062
Scgdelta-PD	1215	1033.76	6	0.0500062
Scgdelta-PE	1215	1033.76	6	0.0500062
CG3795-PA	918	736.76	0	0
CG3795-PB	918	736.76	0	0
a6-PA	1230	1048.76	72.6667	0.596969
a6-PB	1230	1048.76	72.6667	0.596969
a6-PC	1230	1048.76	72.6667	0.596969
CG3740-PA	423	243.727	268	9.47378
Mur2B-PA	5388	5206.76	37.6614	0.0623192
Mur2B-PC	5388	5206.76	37.6614	0.0623192
Mur2B-PB	3435	3253.76	342.677	0.907386
CG14795-PB	351	176.321	0	0
sta-PA	813	631.76	10961.8	149.493
sta-PB	813	631.76	10961.8	149.493
sta-PE	813	631.76	10961.8	149.493
sta-PF	813	631.76	10961.8	149.493
Rab27-PB	711	529.815	0	0
Rab27-PC	693	511.815	0	0
CG32808-PA	855	673.76	18	0.230176
O-fut2-PA	1473	1291.76	1344	8.96417
CG14787-PA	783	601.76	2	0.0286351
CG32806-PA	618	437.088	0	0
MED18-PA	654	472.865	277.445	5.05513
MED18-PC	153	31.4372	12.5547	3.44077
CG14803-PA	3309	3127.76	266	0.732725
CG14803-PB	3294	3112.76	0	0
Vps26-PA	1437	1255.76	720	4.9399
CG14805-PA	1521	1339.76	409	2.6302
Coa8-PA	531	350.315	120.5	2.9636
Coa8-PB	531	350.315	120.5	2.9636
mRpL16-PA	732	550.815	110	1.7206
mRpL16-PB	732	550.815	110	1.7206
mip130-PA	2961	2779.76	463	1.43505
Rbcn-3B-PA	4578	4396.76	377	0.738756
Rbcn-3B-PB	4578	4396.76	377	0.738756
Ocrl-PA	2553	2371.76	104	0.377794
Ocrl-PB	2553	2371.76	104	0.377794
CG11596-PB	1206	1024.76	0	0
CG11596-PC	1371	1189.76	145.427	1.05312
CG11596-PA	1320	1138.76	176.573	1.33593
CG11596-PD	1206	1024.76	0	0
CG11596-PE	1206	1024.76	0	0
CG3587-PA	900	718.76	127	1.52234
CG4194-PA	795	613.76	12	0.168452
Rtca-PA	1086	904.76	72	0.685633
Rtca-PB	1086	904.76	72	0.685633
CG4045-PA	771	589.76	266	3.88597
CG4199-PC	1782	1600.76	27.5	0.148013
CG4199-PD	1782	1600.76	27.5	0.148013
CG4199-PB	1782	1600.76	27.5	0.148013
CG4199-PA	1659	1477.76	0	0
CG4199-PG	1782	1600.76	27.5	0.148013
CG4199-PH	1782	1600.76	27.5	0.148013
CG4199-PI	1782	1600.76	27.5	0.148013
CG14054-PA	618	437.088	2	0.0394233
CG4281-PA	2091	1909.76	1049	4.73249
Sik2-PA	4197	4015.76	186.69	0.400541
moody-PA	2013	1831.76	42.4841	0.199825
moody-PB	2013	1831.76	42.4841	0.199825
moody-PC	1902	1720.76	7.03183	0.0352079
moody-PD	1902	1720.76	7.03183	0.0352079
moody-PE	2013	1831.76	42.4841	0.199825
moody-PF	2013	1831.76	42.4841	0.199825
CG4325-PA	477	296.7	46	1.33577
CG4325-PB	477	296.7	46	1.33577
Actn-PC	2754	2572.76	176.467	0.590958
Actn-PB	2688	2506.76	159.353	0.547695
Actn-PA	2688	2506.76	162.074	0.55705
Actn-PD	2688	2506.76	159.353	0.547695
Actn-PF	2694	2512.76	0	0
Actn-PG	2754	2572.76	176.467	0.590958
Actn-PH	2754	2572.76	176.467	0.590958
Actn-PI	2688	2506.76	159.353	0.547695
Actn-PJ	2754	2572.76	176.467	0.590958
usp-PA	1527	1345.76	346	2.21514
usp-PB	1527	1345.76	346	2.21514
PIG-K-PA	1068	886.76	764	7.42301
CG3857-PA	1464	1282.76	137	0.920169
eIF2Bepsilon-PA	2010	1828.76	309	1.45578
eIF2Bepsilon-PB	2010	1828.76	309	1.45578
Edem1-PC	2949	2767.76	696.695	2.16874
Edem1-PB	2949	2767.76	696.695	2.16874
Edem1-PA	2949	2767.76	696.695	2.16874
Edem1-PE	3015	2833.76	876.22	2.66405
Edem1-PD	2949	2767.76	696.695	2.16874
CG32801-PA	477	296.7	6.87151	0.199539
trr-PC	7233	7051.76	451.594	0.551751
trr-PD	7296	7114.76	45.4061	0.0549853
CG14818-PA	291	124.476	180.5	12.4935
CG14818-PB	291	124.476	180.5	12.4935
CG14817-PA	321	149.972	125	7.18111
CG14817-PB	321	149.972	125	7.18111
Pgam5-PA	870	688.76	417.024	5.21658
Pgam5-PB	867	685.76	54.9756	0.690702
Pex5-PA	1845	1663.76	363.002	1.8798
Pex5-PB	1680	1498.76	175.998	1.01174
Gcna-PB	3159	2977.76	37.9631	0.109841
Gcna-PA	3093	2911.76	0.0184357	5.45503e-05
Gcna-PD	3093	2911.76	0.0184357	5.45503e-05
deltaCOP-PA	1599	1417.76	1829.63	11.1187
deltaCOP-PB	1596	1414.76	3725.37	22.6871
Lamtor5-PA	303	134.675	91	5.82166
Lamtor5-PB	303	134.675	91	5.82166
CG14811-PB	714	532.815	3	0.0485107
CG4025-PA	741	559.76	332	5.1101
Unc-76-PB	1425	1243.76	94.6667	0.655772
Unc-76-PA	1425	1243.76	94.6667	0.655772
Unc-76-PC	1425	1243.76	94.6667	0.655772
Unc-76-PD	870	688.76	0	0
csw-PA	2526	2344.76	563.558	2.07078
csw-PB	2838	2656.76	289.73	0.939579
csw-PC	2049	1867.76	3.18827e-07	1.47071e-09
csw-PD	2685	2503.76	93.7118	0.322474
D2hgdh-PB	1602	1420.76	256	1.55243
D2hgdh-PC	1602	1420.76	256	1.55243
D2hgdh-PA	1602	1420.76	256	1.55243
Pgd-PA	1446	1264.76	292.5	1.99256
Pgd-PB	1446	1264.76	292.5	1.99256
CG3630-PA	1116	934.76	8.33333	0.0768089
CG3630-PB	1044	862.76	0	0
CG3630-PC	1116	934.76	8.33333	0.0768089
CG3630-PD	1116	934.76	8.33333	0.0768089
ND-B14.5A-PA	312	142.264	260.5	15.7763
ND-B14.5A-PB	312	142.264	260.5	15.7763
Cyp4d2-PA	1506	1324.76	70.1262	0.456074
Cyp4d2-PB	1506	1324.76	70.1262	0.456074
Cyp4ae1-PA	1491	1309.76	15.3955	0.101273
pn-PA	1218	1036.76	122	1.01385
CG17776-PA	213	66.9904	120.5	15.4977
CG17776-PB	213	66.9904	120.5	15.4977
CG17777-PB	333	159.952	0	0
CG17777-PC	333	159.952	0	0
CG3457-PA	579	398.129	0	0
CG3457-PB	579	398.129	0	0
Mct1-PA	1881	1699.76	1	0.0050688
Mct1-PB	1881	1699.76	1	0.0050688
CG14052-PB	492	311.609	0	0
pcx-PE	10254	10072.8	0.00295857	2.53062e-06
pcx-PF	10242	10060.8	464.999	0.398211
pcx-PC	10242	10060.8	464.999	0.398211
fs(1)K10-PA	1392	1210.76	262	1.86439
Or2a-PA	1194	1012.76	4	0.0340288
CG3071-PA	1608	1426.76	308	1.85991
CG2854-PA	1476	1294.76	1	0.00665431
Raf-PA	2220	2038.76	163.5	0.690946
Raf-PE	2220	2038.76	163.5	0.690946
CG2841-PB	3705	3523.76	248	0.60637
CG2841-PC	3705	3523.76	248	0.60637
CG2841-PA	3705	3523.76	248	0.60637
CG2841-PD	3705	3523.76	248	0.60637
CG2841-PE	3705	3523.76	248	0.60637
CG2841-PF	3720	3538.76	0	0
mRpL14-PA	486	305.609	52	1.46598
mRpL14-PB	486	305.609	52	1.46598
Ilp6-PA	324	152.432	0.25	0.0141305
Ilp6-PB	324	152.432	0.25	0.0141305
Ilp6-PC	324	152.432	0.25	0.0141305
Ilp6-PD	324	152.432	0.25	0.0141305
CG14050-PA	780	598.76	0.5	0.00719466
CG14050-PB	780	598.76	0.5	0.00719466
CG2865-PA	1305	1123.76	229.5	1.75955
CG2865-PB	1305	1123.76	229.5	1.75955
CG2918-PA	2772	2590.76	11156	37.1
CG2918-PB	2772	2590.76	11156	37.1
CG2924-PA	1194	1012.76	119	1.01236
CG2924-PE	1194	1012.76	119	1.01236
CG2924-PB	1194	1012.76	119	1.01236
CG2924-PD	1194	1012.76	119	1.01236
temp-PA	1197	1015.76	45.5	0.385934
temp-PB	1197	1015.76	45.5	0.385934
CG3078-PA	2232	2050.76	0	0
CG3078-PB	2235	2053.76	0	0
CG3078-PC	2250	2068.76	0	0
CG3078-PD	2298	2116.76	0	0
CG3191-PA	930	748.76	17.5	0.201367
CG3191-PC	930	748.76	17.5	0.201367
crn-PA	2109	1927.76	420	1.87711
kz-PA	3579	3397.76	138	0.349928
kz-PB	3579	3397.76	138	0.349928
Vinc-PA	2886	2704.76	250.333	0.797411
Vinc-PB	2886	2704.76	250.333	0.797411
Vinc-PC	2886	2704.76	250.333	0.797411
FarO-PA	1515	1333.76	11	0.0710571
CG14053-PA	693	511.815	0	0
CG14053-PB	693	511.815	0	0
Nmd3-PA	1566	1384.76	788	4.9028
Cyp4d14-PA	1524	1342.76	0	0
Cyp4d14-PB	1533	1351.76	0	0
Cyp4d1-PB	1512	1330.76	4	0.0258972
Cyp4d1-PA	1539	1357.76	0	0
wapl-PA	5226	5044.76	314.812	0.537654
wapl-PB	3279	3097.76	31.3767	0.0872674
wapl-PC	5226	5044.76	314.812	0.537654
bcn92-PA	279	114.602	124	9.3223
ph-p-PA	4770	4588.76	520.536	0.977345
ph-p-PB	4041	3859.76	0	0
ph-p-PC	4041	3859.76	0	0
ph-p-PD	4041	3859.76	0	0
ph-d-PA	4614	4432.76	160.438	0.311835
ph-d-PB	4080	3898.76	2.02627	0.00447778
CG16903-PA	1683	1501.76	523	3.0005
AANATL7-PA	687	505.815	3055	52.0369
AANATL7-PB	687	505.815	3055	52.0369
AANATL7-PC	687	505.815	3055	52.0369
AANATL7-PD	687	505.815	3055	52.0369
wds-PA	1086	904.76	189.5	1.80455
wds-PB	1086	904.76	189.5	1.80455
egh-PC	1374	1192.76	362	2.61486
egh-PB	1374	1192.76	362	2.61486
egh-PD	1374	1192.76	362	2.61486
Seipin-PA	1113	931.76	96	0.887687
brv3-PC	2253	2071.76	147.054	0.611548
brv3-PB	2160	1978.76	4.94574	0.0215343
Tsp3A-PA	915	733.76	17.5	0.205483
Tsp3A-PB	915	733.76	17.5	0.205483
eIF3g1-PA	810	628.76	2542	34.8324
Smyd3-PB	1407	1225.76	347	2.43903
Klp3A-PA	3639	3457.76	74	0.184387
Klp3A-PB	3639	3457.76	74	0.184387
CG13760-PC	723	541.815	49.7588	0.791246
CG13760-PD	669	487.865	100.241	1.77027
Vha36-3-PB	750	568.76	63.5	0.961917
Vha36-3-PC	750	568.76	63.5	0.961917
boi-PB	2997	2815.76	0	0
boi-PA	1644	1462.76	38.7631	0.228317
boi-PE	2997	2815.76	0	0
boi-PF	2997	2815.76	0	0
boi-PG	3318	3136.76	3.23686	0.00889068
tko-PB	423	243.727	189.172	6.6872
tko-PC	465	284.846	1.82845	0.055305
gt-PB	1347	1165.76	3	0.022172
CG32797-PA	609	428.088	1	0.0201261
CG12496-PA	1062	880.76	0	0
sgg-PD	3204	3022.76	201.243	0.573601
sgg-PH	1545	1363.76	163.675	1.03404
sgg-PI	1545	1363.76	163.675	1.03404
sgg-PJ	1728	1546.76	0	0
sgg-PG	1491	1309.76	144.078	0.947757
sgg-PK	1251	1069.76	0	0
sgg-PB	1545	1363.76	163.675	1.03404
sgg-PA	1728	1546.76	0	0
sgg-PE	1545	1363.76	163.675	1.03404
sgg-PF	1545	1363.76	163.675	1.03404
sgg-PC	1545	1363.76	163.675	1.03404
sgg-PM	2319	2137.76	76.3446	0.307689
sgg-PN	1251	1069.76	0	0
sgg-PO	1326	1144.76	9.61939	0.0723979
sgg-PP	3381	3199.76	33.4502	0.0900687
sgg-PQ	3507	3325.76	0	0
sgg-PR	1794	1612.76	5.2164	0.0278672
per-PA	3657	3475.76	52	0.128898
per-PB	3657	3475.76	52	0.128898
CG2662-PA	1341	1159.76	21	0.156007
CG2662-PB	1341	1159.76	21	0.156007
eIF2Bbeta-PA	1059	877.76	755	7.41078
CG2681-PA	1881	1699.76	1	0.0050688
CG2694-PA	2478	2296.76	0.0492889	0.000184895
CG2694-PB	2022	1840.76	122.883	0.575157
CG2694-PD	2469	2287.76	5.06793	0.0190859
fs(1)Yb-PA	3129	2947.76	4	0.0116912
fs(1)Ya-PA	2091	1909.76	21	0.0947399
dwg-PA	1779	1597.76	195	1.05152
CG2712-PA	1506	1324.76	63	0.409728
CG12498-PA	786	604.76	1	0.0142465
w-PA	2064	1882.76	0	0
CG32795-PA	1164	982.76	94	0.824087
CG32795-PB	1164	982.76	94	0.824087
CG32795-PC	1164	982.76	94	0.824087
CG32795-PD	1164	982.76	94	0.824087
CG32795-PE	1164	982.76	94	0.824087
Syx4-PA	1002	820.76	10	0.104973
Syx4-PB	774	592.76	0	0
crm-PB	2949	2767.76	99	0.308176
crm-PA	2949	2767.76	99	0.308176
CG2701-PA	2208	2026.76	1170	4.97366
CG2685-PA	1659	1477.76	318	1.85403
CG2680-PB	918	736.76	0	0
Ugalt-PA	1074	892.76	947.724	9.14618
Ugalt-PB	1107	925.76	175.552	1.6338
Ugalt-PC	1074	892.76	947.724	9.14618
Spg7-PA	2460	2278.76	192	0.725931
Spg7-PC	2460	2278.76	192	0.725931
dyw-PA	783	601.76	5	0.0715879
CG2652-PA	708	526.815	0	0
HLH3B-PA	1131	949.76	0	0
N-PA	8112	7930.76	7.5	0.00814777
N-PB	8112	7930.76	7.5	0.00814777
CG3939-PA	408	229.13	131	4.92585
CG3939-PB	408	229.13	131	4.92585
dnc-PA	2106	1924.76	0	0
dnc-PE	1929	1747.76	0	0
dnc-PN	2952	2770.76	109.11	0.33928
dnc-PG	2445	2263.76	0	0
dnc-PF	1989	1807.76	0	0
dnc-PL	1566	1384.76	27.1337	0.168821
dnc-PB	3630	3448.76	55.745	0.139263
dnc-PI	3213	3031.76	0	0
dnc-PC	3174	2992.76	0	0
dnc-PJ	3213	3031.76	0	0
dnc-PD	3207	3025.76	97.29	0.27703
dnc-PP	1929	1747.76	0	0
dnc-PQ	2112	1930.76	10.4881	0.0468018
dnc-PR	2112	1930.76	10.4881	0.0468018
dnc-PS	3630	3448.76	55.745	0.139263
dnc-PT	2148	1966.76	0	0
dnc-PU	2148	1966.76	0	0
ng1-PA	324	152.432	0	0
Sgs4-PC	864	682.76	0	0
CG10801-PA	1677	1495.76	2	0.0115202
CG10801-PB	1584	1402.76	0	0
CG12206-PA	1749	1567.76	0	0
CG12206-PB	1749	1567.76	0	0
CG12206-PC	1749	1567.76	0	0
CG16781-PA	1152	970.76	0	0
CG16781-PB	1161	979.76	0	0
CG16782-PA	603	422.088	5	0.102061
CG14269-PA	573	392.129	0	0
CG14269-PB	573	392.129	0	0
CG12535-PB	618	437.088	2.4	0.047308
CG12535-PF	618	437.088	2.4	0.047308
CG12535-PC	618	437.088	2.4	0.047308
CG12535-PD	618	437.088	2.4	0.047308
CG12535-PE	618	437.088	2.4	0.047308
CG10793-PA	1440	1258.76	2	0.0136893
Pig1-PB	519	338.384	0	0
ng4-PA	174	42.4494	0	0
ng3-PB	441	261.419	0	0
ng2-PA	339	165.412	0	0
CG14265-PB	360	184.253	0	0
Fcp3C-PA	849	667.76	11	0.141927
CG18508-PA	300	132.061	102.5	6.68716
CG18508-PB	300	132.061	102.5	6.68716
CG3526-PA	690	508.815	0	0
CG3526-PC	666	484.865	0	0
CG32793-PA	2481	2299.76	1	0.00374636
CG3592-PA	750	568.76	1	0.0151483
CG3598-PA	819	637.76	0	0
CG14420-PA	882	700.76	1	0.0122949
CG14421-PA	717	535.815	7	0.112558
CG14422-PA	885	703.76	0	0
CG14423-PA	918	736.76	1	0.0116941
CG17959-PA	447	267.26	0	0
CG3603-PA	750	568.76	60.5	0.916472
CG3603-PB	750	568.76	60.5	0.916472
kirre-PB	2871	2689.76	1.57143	0.00503354
kirre-PA	2871	2689.76	1.57143	0.00503354
kirre-PC	2871	2689.76	1.57143	0.00503354
kirre-PD	2871	2689.76	1.57143	0.00503354
kirre-PE	2871	2689.76	1.57143	0.00503354
kirre-PF	2871	2689.76	1.57143	0.00503354
kirre-PG	2871	2689.76	1.57143	0.00503354
CG4116-PA	795	613.76	0	0
CG4116-PB	702	520.815	0	0
rst-PA	2295	2113.76	2	0.00815205
rst-PB	2295	2113.76	2	0.00815205
CG14424-PA	792	610.76	0	0
CG14419-PA	588	407.088	0	0
CG14418-PA	984	802.76	0	0
CG14418-PB	855	673.76	0	0
CG14417-PA	993	811.76	0	0
CG14416-PA	777	595.76	0	0
CG10802-PA	1311	1129.76	423.946	3.23309
CG10802-PB	1239	1057.76	39.0538	0.318104
CG10803-PA	1914	1732.76	48.2262	0.239793
CG10803-PB	1725	1543.76	1.05114e-08	5.8664e-11
CG10803-PC	1725	1543.76	1.05114e-08	5.8664e-11
CG10803-PD	1725	1543.76	1.05114e-08	5.8664e-11
CG10803-PE	1854	1672.76	139.774	0.719921
CG13021-PA	333	159.952	0	0
CG13021-PB	333	159.952	0	0
ppk8-PG	1299	1117.76	18	0.138745
ppk8-PH	1710	1528.76	0	0
Ilp7-PA	480	299.7	0	0
Mnt-PC	1749	1567.76	0	0
